"Laps","Time","Cumulative Time","Distance","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Stride Length","Calories","Max Run Cadence","Time_seconds","Zones","Month"
1,"13:31","13:31",2.41,116,142,37,34,178,1,174,211,811,"Z1","January"
2,"5:51.1","19:22",1.51,148,160,0,4,184,1,95,192,351.1,"Z2","January"
3,"5:49.3","25:12",1.52,155,164,0,0,184,1,98,192,349.3,"Z2","January"
4,"0:00.7","25:12",0.01,165,165,0,0,181,3,1,183,0.7,"Z3","January"
5,"5:51.2","31:03",1.51,158,169,0,0,185,1,100,194,351.2,"Z3","January"
6,"5:49.5","36:53",1.52,161,173,0,0,182,1,101,189,349.5,"Z3","January"
7,"19:42","56:35",3.07,137,173,94,82,169,0,236,187,1182,"Z1","January"
1,"25:04","25:04",3.81,111,122,65,61,175,0,277,186,1504,"Z1","January"
1,"35:06","35:06",5,134,153,200,33,175,0,470,192,2106,"Z1","January"
2,"28:13","1:03:19",4.81,134,153,16,178,178,0,363,207,1693,"Z1","January"
1,"27:34","27:34",5,123,136,15,38,179,1,372,192,1654,"Z1","January"
2,"28:28","56:03",5,130,138,9,4,177,0,390,184,1708,"Z1","January"
3,"29:40","1:25:43",5,133,147,48,29,175,0,401,184,1780,"Z1","January"
4,"6:01.9","1:31:44",1,135,147,20,15,168,0,83,184,361.9,"Z1","January"
1,"27:33","27:33",5,125,137,15,41,179,1,376,200,1653,"Z1","January"
2,"27:14","54:47",5,133,148,34,17,178,1,384,186,1634,"Z1","January"
3,"1:00.3","55:47",0.18,151,152,11,0,177,0,17,186,60.3,"Z2","January"
1,"28:26","28:26",5,129,166,37,32,178,0,375,188,1706,"Z1","January"
2,"27:23","55:49",5,130,139,13,18,178,1,369,187,1643,"Z1","January"
3,"11:40","1:07:29",2.21,137,143,5,7,178,1,167,185,700,"Z1","January"
1,"10:17","10:17",1.77,125,151,12,27,169,1,137,198,617,"Z1","January"
2,"0:34.2","10:51",0.15,141,153,0,2,185,1,9,192,34.2,"Z1","January"
3,"0:51.6","11:43",0.16,151,156,0,0,171,1,15,183,51.6,"Z2","January"
4,"0:33.6","12:16",0.14,146,158,0,0,185,1,9,194,33.6,"Z2","January"
5,"1:36.5","13:53",0.28,142,162,8,8,168,1,25,189,96.5,"Z1","January"
6,"3:52.1","17:45",1,147,163,1,0,185,1,64,192,232.1,"Z2","January"
7,"3:51.1","21:36",0.99,157,164,0,0,185,1,66,194,231.1,"Z2","January"
8,"3:50.5","25:27",1.01,159,168,0,1,182,1,67,192,230.5,"Z3","January"
9,"3:44.2","29:11",1,162,171,5,5,183,1,66,192,224.2,"Z3","January"
10,"3:48.0","32:59",1.01,163,173,0,0,181,1,69,190,228,"Z3","January"
11,"12:58","45:57",2.41,142,173,30,17,173,1,176,226,778,"Z1","January"
1,"9:19.5","9:19.5",1.54,123,133,3,6,169,0,125,192,559.5,"Z1","January"
1,"0:55.6","0:55.6",0.24,121,145,0,0,170,1,12,196,55.6,"Z1","January"
2,"18:27","19:22",4.76,164,176,15,19,183,1,338,191,1107,"Z3","January"
1,"14:29","14:29",2.58,124,136,18,28,176,1,198,190,869,"Z1","January"
2,"0:01.9","14:31",0,134,134,0,0,180,0,0,180,1.9,"Z1","January"
3,"5:01.5","19:33",1,135,140,5,7,182,1,77,189,301.5,"Z1","January"
4,"4:57.4","24:30",1,132,134,28,12,181,1,72,187,297.4,"Z1","January"
5,"5:06.1","29:36",1,136,142,43,54,181,1,76,188,306.1,"Z1","January"
6,"4:59.5","34:36",1,138,140,14,19,180,1,76,184,299.5,"Z1","January"
7,"5:20.7","39:56",1,137,142,7,0,179,1,77,186,320.7,"Z1","January"
8,"2:07.5","42:04",0.41,138,141,0,6,178,1,31,181,127.5,"Z1","January"
9,"5:32.9","47:37",1,127,138,2,0,179,1,72,185,332.9,"Z1","January"
10,"5:38.0","53:15",1,129,139,0,1,176,1,78,185,338,"Z1","January"
11,"5:40.8","58:56",1,127,134,51,23,180,0,77,189,340.8,"Z1","January"
12,"5:56.2","1:04:52",1,127,130,19,32,181,0,84,191,356.2,"Z1","January"
13,"5:24.2","1:10:16",1,129,133,17,31,181,1,74,188,324.2,"Z1","January"
14,"5:44.5","1:16:01",1,127,135,17,18,180,0,82,189,344.5,"Z1","January"
15,"5:07.7","1:21:08",1,135,139,17,10,179,1,68,186,307.7,"Z1","January"
16,"5:36.1","1:26:44",1,133,142,6,5,175,1,72,190,336.1,"Z1","January"
17,"2:00.6","1:28:45",0.25,130,136,3,0,127,0,26,184,120.6,"Z1","January"
1,"6:05.6","6:05.6",1,129,144,13,13,175,0,79,189,365.6,"Z1","January"
2,"4:45.3","10:51",1,134,148,2,3,181,1,71,192,285.3,"Z1","January"
3,"9:11.1","20:02",1,123,153,7,5,110,0,93,188,551.1,"Z1","January"
4,"0:58.1","21:00",0.17,150,151,0,0,175,1,14,179,58.1,"Z2","January"
5,"0:37.0","21:37",0.2,153,161,0,9,191,1,11,196,37,"Z2","January"
6,"1:04.1","22:41",0.21,159,163,0,0,177,1,18,194,64.1,"Z3","January"
7,"0:38.3","23:20",0.2,157,165,0,0,192,1,12,198,38.3,"Z2","January"
8,"0:59.9","24:19",0.2,162,167,2,0,176,1,17,192,59.9,"Z3","January"
9,"0:38.4","24:58",0.21,160,165,9,0,191,1,12,196,38.4,"Z3","January"
10,"1:11.3","26:09",0.21,161,168,0,5,172,1,20,190,71.3,"Z3","January"
11,"2:05.9","28:15",0.6,154,172,3,8,177,1,33,200,125.9,"Z2","January"
